,Benchmark,Hardware Vendor,System,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
3,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,214.0,51.4,1,64,2,AMD EPYC 7742,2250,128,128
4,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,206.0,56.4,1,64,2,AMD EPYC 7742,2250,128,128
5,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,1140.0,228.0,6,64,2,AMD EPYC 7742,2250,768,768
6,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,1141.0,250.0,6,64,2,AMD EPYC 7742,2250,768,768
7,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,408.0,94.6,2,64,2,AMD EPYC 7763,2450,256,256
8,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,406.0,122.0,2,64,2,AMD EPYC 7763,2450,256,256
9,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,430.0,106.0,2,64,2,AMD EPYC 7742,2250,256,256
10,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,425.0,92.9,2,64,2,AMD EPYC 7742,2250,256,256
11,power_ssj2008,ASUSTeK Computer Inc.,RS720-E10-R12,623.0,110.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
12,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,405.0,47.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
13,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,412.0,62.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
14,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9/RS8,385.0,48.2,2,28,2,Intel Xeon Platinum 8180,2500,192,112
15,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,817.0,128.0,2,96,2,AMD EPYC 9654,2400,384,384
16,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,827.0,126.0,2,96,2,AMD EPYC 9654,2400,384,384
17,power_ssj2008,ASUSTeK Computer Inc.,RS720Q-E9-RS8,1417.0,193.0,8,28,2,Intel Xeon Platinum 8176M,2100,768,448
18,power_ssj2008,Acer Incoporated,Acer AR360 F2,315.0,69.4,2,8,2,Intel Xeon E5-2660,2200,24,32
20,power_ssj2008,Acer Incorporated,Acer AC100,58.0,21.5,1,4,2,Intel Xeon E3-1260L,2400,8,8
21,power_ssj2008,Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)",267.0,76.9,2,6,2,Intel Xeon X5670,2933,12,24
22,power_ssj2008,Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)",265.0,76.4,2,6,2,Intel Xeon X5670,2933,12,24
23,power_ssj2008,Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)",124.0,39.6,1,4,2,Intel Xeon X3470,2933,8,8
24,power_ssj2008,Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)",272.0,73.6,2,6,2,Intel Xeon X5670,2933,12,24
25,power_ssj2008,Acer Incorporated,Acer AR380 F1,197.0,88.1,2,4,2,Intel Xeon L5530,2400,8,16
26,power_ssj2008,Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)",259.0,76.6,2,6,2,Intel Xeon X5670,2933,12,24
27,power_ssj2008,Acer Incorporated,Acer AR380 F2,325.0,99.6,2,6,2,Intel Xeon E5-2630,2300,128,24
28,power_ssj2008,Acer Incorporated,Acer AR380 F2,307.0,99.5,2,6,2,Intel Xeon E5-2640,2500,128,24
29,power_ssj2008,Acer Incorporated,Acer AR380 F2,409.0,103.0,2,8,2,Intel Xeon E5-2665,2400,128,32
30,power_ssj2008,Acer Incorporated,Acer AR380 F2,254.0,81.9,2,6,2,Intel Xeon E5-2640,2500,32,24
31,power_ssj2008,Acer Incorporated,Acer AR385 F1,307.0,94.9,2,16,1,AMD Opteron 6276,2300,32,32
32,power_ssj2008,Acer Incorporated,Acer AR385 F1,290.0,89.8,2,12,1,AMD Opteron 6238,2600,32,24
33,power_ssj2008,Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)",273.0,86.7,2,12,1,AMD Opteron 6174,2200,16,24
34,power_ssj2008,Acer Incorporated,Acer AR580 F2,368.0,109.0,4,6,2,Intel Xeon E5-4607,2200,64,48
35,power_ssj2008,Acer Incorporated,Acer AR580 F2,667.0,134.0,4,8,2,Intel Xeon E5-4650,2700,32,64
36,power_ssj2008,Acer Incorporated,Acer AR585 F1,511.0,145.0,4,12,1,AMD Opteron 6344,2600,64,48
37,power_ssj2008,Acer Incorporated,Acer AR585 F1,581.0,149.0,4,16,1,AMD Opteron 6380,2500,64,64
38,power_ssj2008,Acer Incorporated,Acer AR585 F1,584.0,127.0,4,16,1,AMD Opteron 6278,2400,64,64
39,power_ssj2008,Acer Incorporated,Acer AR585 F1,786.0,186.0,4,16,1,AMD Opteron 6278,2400,256,64
40,power_ssj2008,Acer Incorporated,Acer AR585 F1,713.0,176.0,4,16,1,AMD Opteron 6278,2400,256,64
41,power_ssj2008,Acer Incorporated,Acer AR585 F1,779.0,187.0,4,16,1,AMD Opteron 6276,2300,256,64
42,power_ssj2008,Acer Incorporated,Acer AR585 F1,713.0,177.0,4,16,1,AMD Opteron 6276,2300,256,64
43,power_ssj2008,Acer Incorporated,Acer AR585 F1,588.0,130.0,4,16,1,AMD Opteron 6276,2300,64,64
44,power_ssj2008,Acer Incorporated,Acer AR585 F1,559.0,127.0,4,12,1,AMD Opteron 6238,2600,64,48
45,power_ssj2008,Acer Incorporated,Acer AR585 F1,518.0,143.0,4,12,1,AMD Opteron 6174,2200,32,48
47,power_ssj2008,Acer Incorporated,Acer AT110 F2 (Intel Xeon E3-1270),102.0,21.3,1,4,2,Intel Xeon E3-1270,3400,8,8
48,power_ssj2008,Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)",70.2,31.9,1,6,1,AMD Opteron 4164EE,1800,8,6
49,power_ssj2008,Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)",244.0,65.4,2,6,2,Intel Xeon X5670,2933,12,24
50,power_ssj2008,Acer Incorporated,Acer AT350 F1,193.0,88.5,2,4,2,Intel Xeon L5530,2400,8,16
51,power_ssj2008,Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)",259.0,78.8,2,6,2,Intel Xeon X5670,2933,12,24
52,power_ssj2008,Acer Incorporated,Acer AT350 F2,255.0,83.5,2,6,2,Intel Xeon E5-2640,2500,32,24
53,power_ssj2008,Acer Incorporated,Acer AT350 F2,414.0,96.6,2,8,2,Intel Xeon E5-2665,2400,128,32
54,power_ssj2008,Acer Incorporated,Acer AT350 F2,323.0,96.0,2,6,2,Intel Xeon E5-2630,2300,128,24
