,Benchmark,Hardware Vendor,System,Result,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
0,power_ssj2008,ASUSTeK Computer Inc.,"ASUS RS100-E5 (Intel Xeon X3360 Processor, 2.83 GHz)",905.0,118.0,56.7,1,4,1,Intel Xeon X3360 Processor,2833,4,4
1,power_ssj2008,ASUSTeK Computer Inc.,"ASUS RS160-E5 (Intel Xeon L5420 Processor, 2.50 GHz)",1009.0,170.0,86.0,2,4,1,Intel Xeon L5420,2500,8,8
2,power_ssj2008,ASUSTeK Computer Inc.,"ASUS RS160-E5 (Intel Xeon L5430 Processor, 2.66 GHz)",1020.0,173.0,89.4,2,4,1,Intel Xeon L5430,2666,8,8
3,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,20908.0,214.0,51.4,1,64,2,AMD EPYC 7742,2250,128,128
4,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,21168.0,206.0,56.4,1,64,2,AMD EPYC 7742,2250,128,128
5,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,24238.0,1140.0,228.0,6,64,2,AMD EPYC 7742,2250,768,768
6,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,24507.0,1141.0,250.0,6,64,2,AMD EPYC 7742,2250,768,768
7,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,25252.0,408.0,94.6,2,64,2,AMD EPYC 7763,2450,256,256
8,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,25302.0,406.0,122.0,2,64,2,AMD EPYC 7763,2450,256,256
9,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,20214.0,430.0,106.0,2,64,2,AMD EPYC 7742,2250,256,256
10,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,20350.0,425.0,92.9,2,64,2,AMD EPYC 7742,2250,256,256
11,power_ssj2008,ASUSTeK Computer Inc.,RS720-E10-R12,13600.0,623.0,110.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
12,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,14274.0,405.0,47.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
13,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,14066.0,412.0,62.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
14,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9/RS8,12727.0,385.0,48.2,2,28,2,Intel Xeon Platinum 8180,2500,192,112
15,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,30064.0,817.0,128.0,2,96,2,AMD EPYC 9654,2400,384,384
16,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,30602.0,827.0,126.0,2,96,2,AMD EPYC 9654,2400,384,384
17,power_ssj2008,ASUSTeK Computer Inc.,RS720Q-E9-RS8,11935.0,1417.0,193.0,8,28,2,Intel Xeon Platinum 8176M,2100,768,448
18,power_ssj2008,Acer Incoporated,Acer AR360 F2,3900.0,315.0,69.4,2,8,2,Intel Xeon E5-2660,2200,24,32
19,power_ssj2008,Acer Incorporated,AT310 F1,2004.0,125.0,35.4,1,1,2,Intel Xeon X3470,2933,8,2
20,power_ssj2008,Acer Incorporated,Acer AC100,3741.0,58.0,21.5,1,4,2,Intel Xeon E3-1260L,2400,8,8
21,power_ssj2008,Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)",2471.0,267.0,76.9,2,6,2,Intel Xeon X5670,2933,12,24
22,power_ssj2008,Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)",2485.0,265.0,76.4,2,6,2,Intel Xeon X5670,2933,12,24
23,power_ssj2008,Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)",1911.0,124.0,39.6,1,4,2,Intel Xeon X3470,2933,8,8
24,power_ssj2008,Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)",2414.0,272.0,73.6,2,6,2,Intel Xeon X5670,2933,12,24
25,power_ssj2008,Acer Incorporated,Acer AR380 F1,1597.0,197.0,88.1,2,4,2,Intel Xeon L5530,2400,8,16
26,power_ssj2008,Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)",2502.0,259.0,76.6,2,6,2,Intel Xeon X5670,2933,12,24
27,power_ssj2008,Acer Incorporated,Acer AR380 F2,2219.0,325.0,99.6,2,6,2,Intel Xeon E5-2630,2300,128,24
28,power_ssj2008,Acer Incorporated,Acer AR380 F2,2454.0,307.0,99.5,2,6,2,Intel Xeon E5-2640,2500,128,24
29,power_ssj2008,Acer Incorporated,Acer AR380 F2,2705.0,409.0,103.0,2,8,2,Intel Xeon E5-2665,2400,128,32
30,power_ssj2008,Acer Incorporated,Acer AR380 F2,2980.0,254.0,81.9,2,6,2,Intel Xeon E5-2640,2500,32,24
31,power_ssj2008,Acer Incorporated,Acer AR385 F1,2812.0,307.0,94.9,2,16,1,AMD Opteron 6276,2300,32,32
32,power_ssj2008,Acer Incorporated,Acer AR385 F1,2506.0,290.0,89.8,2,12,1,AMD Opteron 6238,2600,32,24
33,power_ssj2008,Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)",2424.0,273.0,86.7,2,12,1,AMD Opteron 6174,2200,16,24
34,power_ssj2008,Acer Incorporated,Acer AR580 F2,3659.0,368.0,109.0,4,6,2,Intel Xeon E5-4607,2200,64,48
35,power_ssj2008,Acer Incorporated,Acer AR580 F2,4134.0,667.0,134.0,4,8,2,Intel Xeon E5-4650,2700,32,64
36,power_ssj2008,Acer Incorporated,Acer AR585 F1,3739.0,511.0,145.0,4,12,1,AMD Opteron 6344,2600,64,48
37,power_ssj2008,Acer Incorporated,Acer AR585 F1,4096.0,581.0,149.0,4,16,1,AMD Opteron 6380,2500,64,64
38,power_ssj2008,Acer Incorporated,Acer AR585 F1,2969.0,584.0,127.0,4,16,1,AMD Opteron 6278,2400,64,64
39,power_ssj2008,Acer Incorporated,Acer AR585 F1,2136.0,786.0,186.0,4,16,1,AMD Opteron 6278,2400,256,64
40,power_ssj2008,Acer Incorporated,Acer AR585 F1,2362.0,713.0,176.0,4,16,1,AMD Opteron 6278,2400,256,64
41,power_ssj2008,Acer Incorporated,Acer AR585 F1,2076.0,779.0,187.0,4,16,1,AMD Opteron 6276,2300,256,64
42,power_ssj2008,Acer Incorporated,Acer AR585 F1,2284.0,713.0,177.0,4,16,1,AMD Opteron 6276,2300,256,64
43,power_ssj2008,Acer Incorporated,Acer AR585 F1,2803.0,588.0,130.0,4,16,1,AMD Opteron 6276,2300,64,64
44,power_ssj2008,Acer Incorporated,Acer AR585 F1,2552.0,559.0,127.0,4,12,1,AMD Opteron 6238,2600,64,48
45,power_ssj2008,Acer Incorporated,Acer AR585 F1,2562.0,518.0,143.0,4,12,1,AMD Opteron 6174,2200,32,48
46,power_ssj2008,Acer Incorporated,Acer AT110 F1,1243.0,95.4,49.6,1,4,1,Intel Xeon Processor L3360,2833,4,4
47,power_ssj2008,Acer Incorporated,Acer AT110 F2 (Intel Xeon E3-1270),3260.0,102.0,21.3,1,4,2,Intel Xeon E3-1270,3400,8,8
48,power_ssj2008,Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)",1980.0,70.2,31.9,1,6,1,AMD Opteron 4164EE,1800,8,6
49,power_ssj2008,Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)",2724.0,244.0,65.4,2,6,2,Intel Xeon X5670,2933,12,24
50,power_ssj2008,Acer Incorporated,Acer AT350 F1,1618.0,193.0,88.5,2,4,2,Intel Xeon L5530,2400,8,16
51,power_ssj2008,Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)",2518.0,259.0,78.8,2,6,2,Intel Xeon X5670,2933,12,24
52,power_ssj2008,Acer Incorporated,Acer AT350 F2,3031.0,255.0,83.5,2,6,2,Intel Xeon E5-2640,2500,32,24
53,power_ssj2008,Acer Incorporated,Acer AT350 F2,2824.0,414.0,96.6,2,8,2,Intel Xeon E5-2665,2400,128,32
54,power_ssj2008,Acer Incorporated,Acer AT350 F2,2330.0,323.0,96.0,2,6,2,Intel Xeon E5-2630,2300,128,24
55,power_ssj2008,Acer Incorporated,Acer AT350 F2,2464.0,327.0,98.2,2,6,2,Intel Xeon E5-2640,2500,128,24
56,power_ssj2008,Acer Incorporated,Acer AT350 F2,2705.0,409.0,103.0,2,8,2,Intel Xeon E5-2665,2400,128,32
57,power_ssj2008,Acer Incorporated,Acer AW2000h-AW170h F1,2769.0,1016.0,282.0,8,6,2,Intel Xeon X5675,3067,96,96
58,power_ssj2008,Acer Incorporated,Acer AW2000h-AW170h F2,3501.0,1275.0,331.0,8,8,2,Intel Xeon E5-2660,2200,128,128
59,power_ssj2008,Acer Incorporated,Acer AW2000h-AW175h F1,2474.0,1113.0,284.0,8,12,1,AMD Opteron 6174,2200,64,96
60,power_ssj2008,Acer Incorporated,Acer AW2000h-Aw170h F2,3400.0,1700.0,364.0,8,8,2,Intel Xeon E5-2670,2600,512,128
61,power_ssj2008,Acer Incorporated,Acer AW2000ht-AW170ht F1,2099.0,597.0,205.0,4,6,2,Intel Xeon X5670,2933,24,48
62,power_ssj2008,Acer Incorporated,Altos G540 M2,1522.0,254.0,121.0,2,4,2,Intel Xeon X5570,2930,8,16
63,power_ssj2008,Acer Incorporated,Altos R360 F2,4909.0,258.0,72.4,2,8,2,Intel Xeon E5-2660,2200,24,32
64,power_ssj2008,Acer Incorporated,Altos R360 F2,4893.0,223.0,64.0,2,8,2,Intel Xeon E5-2650,2000,24,32
65,power_ssj2008,Acer Incorporated,Altos R360 F2,4142.0,275.0,80.4,2,8,2,Intel Xeon E5-2660,2200,24,32
66,power_ssj2008,Acer Incorporated,Altos R380 F2,5268.0,215.0,52.9,2,8,2,Intel Xeon E5-2650,2200,32,32
67,power_ssj2008,Acer Incorporated,Altos R380 F2,5227.0,252.0,63.7,2,8,2,Intel Xeon E5-2660,2200,32,32
68,power_ssj2008,Acer Incorporated,Altos R380 F2,4036.0,316.0,71.5,2,8,2,Intel Xeon E5-2660,2200,24,32
69,power_ssj2008,Acer Incorporated,Altos R520,863.0,195.0,125.0,2,4,1,Intel Xeon L5430,2667,8,8
70,power_ssj2008,Acer Incorporated,Altos R520,731.0,269.0,155.0,2,4,1,Intel Xeon E5450,3000,16,8
71,power_ssj2008,Acer Incorporated,Altos R720,810.0,206.0,135.0,2,4,1,Intel Xeon L5430,2667,8,8
72,power_ssj2008,Acer Incorporated,Altos T350 F2,5146.0,219.0,56.1,2,8,2,Intel Xeon E5-2650,2000,24,32
73,power_ssj2008,Acer Incorporated,Altos T350 F2,5091.0,255.0,68.5,2,8,2,Intel Xeon E5-2660,2200,24,32
74,power_ssj2008,Acer Incorporated,Gateway GR160 F1,1515.0,196.0,81.4,2,4,2,Intel Xeon L5520,2266,8,16
75,power_ssj2008,Acer Incorporated,"Gateway GR160 F1(Intel Xeon X5670, 2.93 GHz)",2477.0,267.0,76.9,2,6,2,Intel Xeon X5670,2933,12,24
