Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)

ASUSTeK Computer Inc.,"RS720-E9/RS8

 Dec  6 2018 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,5386401,385,48.2,12727
ASUSTeK Computer Inc.,"RS720Q-E9-RS8
None

 May 10 2019 | 
    HTML | 
    Text",4,Oracle Corporation,Intel Xeon Platinum 8176M,2100,8,224,448,768,19257841,1417,193,11935
ASUSTeK Computer Inc.,"RS720-E9-RS8

 Jul  3 2019 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,5862238,412,62.4,14066
ASUSTeK Computer Inc.,"RS720-E9-RS8

 Jul 17 2019 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,5845032,405,47.4,14274
ASUSTeK Computer Inc.,"RS500A-E10-PS4

 Jan 21 2020 | 
    HTML | 
    Text",1,Oracle,AMD EPYC 7742,2250,1,64,128,128,6064779,214,51.4,20908
ASUSTeK Computer Inc.,"RS500A-E10-PS4

 Jan 21 2020 | 
    HTML | 
    Text",1,Oracle,AMD EPYC 7742,2250,1,64,128,128,5879510,206,56.4,21168
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2

 Apr  8 2020 | 
    HTML | 
    Text",1,Oracle,AMD EPYC 7742,2250,2,128,256,256,11702137,430,106,20214
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2

 Apr  8 2020 | 
    HTML | 
    Text",1,Oracle,AMD EPYC 7742,2250,2,128,256,256,11945201,425,92.9,20350
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
RS620SA-E10

 Oct  7 2020 | 
    HTML | 
    Text",6,Oracle,AMD EPYC 7742,2250,6,384,768,768,36876127,1140,228,24238
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
RS620SA-E10

 Oct  7 2020 | 
    HTML | 
    Text",6,Oracle,AMD EPYC 7742,2250,6,384,768,768,36645962,1141,250,24507
ASUSTeK Computer Inc.,"RS720-E10-R12

 Jan 19 2022 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,8962178,623,110,13600
ASUSTeK Computer Inc.,"RS700A-E11-RS4U

 Jul 13 2022 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7763,2450,2,128,256,256,12199307,408,94.6,25252
ASUSTeK Computer Inc.,"RS700A-E11-RS4U

 Jul 13 2022 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7763,2450,2,128,256,256,12304385,406,122,25302


ASUSTeK Computer Inc.,"RS720A-E12-RS12

 Dec 21 2022 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 9654,2400,2,192,384,384,26359065,817,128,30064
