Instance Family,Microarchitecture,vCPUS,Memory (GB)
a1.2xlarge,AWS Graviton,8,16
a1.4xlarge,AWS Graviton,16,32
a1.large,AWS Graviton,2,4
a1.medium,AWS Graviton,1,2
a1.metal,AWS Graviton,16,32
a1.xlarge,AWS Graviton,4,8
c1.medium,Unknown,2,1.7
c1.xlarge,Unknown,8,7
c2.8xlarge,Unknown,32,60.5
c3.2xlarge,Unknown,8,15
c3.4xlarge,Unknown,16,30
c3.8xlarge,Unknown,32,60
c3.large,Unknown,2,3.75
c3.xlarge,Unknown,4,7.5
c4.2xlarge,Haswell,8,15
c4.4xlarge,Haswell,16,30
c4.8xlarge,Haswell,36,60
c4.large,Haswell,2,3.75
c4.xlarge,Haswell,4,7.5
c5.12xlarge,Cascade Lake,48,96
c5.18xlarge,Cascade Lake,72,144
c5.18xlarge,Skylake,72,144
c5.24xlarge,Cascade Lake,96,192
c5.2xlarge,Cascade Lake,8,16
c5.2xlarge,Skylake,8,16
c5.4xlarge,Cascade Lake,16,32
c5.4xlarge,Skylake,16,32
c5.9xlarge,Cascade Lake,36,72
c5.9xlarge,Skylake,36,72
c5.large,Cascade Lake,2,4
c5.large,Skylake,2,4
c5.metal,Cascade Lake,96,192
c5.metal,Skylake,96,192
c5.xlarge,Cascade Lake,4,8
c5.xlarge,Skylake,4,8
c5a.12xlarge,AMD EPYC 2nd Gen,48,96
c5a.16xlarge,AMD EPYC 2nd Gen,64,128
c5a.24xlarge,AMD EPYC 2nd Gen,96,192
c5a.2xlarge,AMD EPYC 2nd Gen,8,16
c5a.4xlarge,AMD EPYC 2nd Gen,16,32
c5a.8xlarge,AMD EPYC 2nd Gen,32,64
c5a.large,AMD EPYC 2nd Gen,2,4
c5a.xlarge,AMD EPYC 2nd Gen,4,8
c5ad.12xlarge,AMD EPYC 2nd Gen,48,96
c5ad.16xlarge,AMD EPYC 2nd Gen,64,128
c5ad.24xlarge,AMD EPYC 2nd Gen,96,192
c5ad.2xlarge,AMD EPYC 2nd Gen,8,16
c5ad.4xlarge,AMD EPYC 2nd Gen,16,32
c5ad.8xlarge,AMD EPYC 2nd Gen,32,64
c5ad.large,AMD EPYC 2nd Gen,2,4
c5ad.xlarge,AMD EPYC 2nd Gen,4,8
c5d.12xlarge,Cascade Lake,48,96
c5d.18xlarge,Cascade Lake,72,144
c5d.18xlarge,Skylake,72,144
c5d.24xlarge,Cascade Lake,96,192
c5d.2xlarge,Cascade Lake,8,16
c5d.2xlarge,Skylake,8,16
c5d.4xlarge,Cascade Lake,16,32
c5d.4xlarge,Skylake,16,32
c5d.9xlarge,Cascade Lake,36,72
c5d.9xlarge,Skylake,36,72
c5d.large,Cascade Lake,2,4
c5d.large,Skylake,2,4
c5d.metal,Cascade Lake,96,192
c5d.metal,Skylake,96,192
c5d.xlarge,Cascade Lake,4,8
c5d.xlarge,Skylake,4,8
c5n.18xlarge,Cascade Lake,72,192
c5n.18xlarge,Skylake,72,192
c5n.2xlarge,Cascade Lake,8,21
c5n.2xlarge,Skylake,8,21
c5n.4xlarge,Cascade Lake,16,42
c5n.4xlarge,Skylake,16,42
c5n.9xlarge,Cascade Lake,36,96
c5n.9xlarge,Skylake,36,96
c5n.large,Cascade Lake,2,5.25
c5n.large,Skylake,2,5.25
c5n.metal,Cascade Lake,72,192
c5n.metal,Skylake,72,192
c5n.xlarge,Cascade Lake,4,10.5
c5n.xlarge,Skylake,4,10.5
c6g.12xlarge,AWS Graviton2,48,96
c6g.16xlarge,AWS Graviton2,64,128
c6g.2xlarge,AWS Graviton2,8,16
c6g.4xlarge,AWS Graviton2,16,32
c6g.8xlarge,AWS Graviton2,32,64
c6g.large,AWS Graviton2,2,4
c6g.medium,AWS Graviton2,1,2
c6g.metal,AWS Graviton2,64,128
c6g.xlarge,AWS Graviton2,4,8
c6gd.12xlarge,AWS Graviton2,48,96
c6gd.16xlarge,AWS Graviton2,64,128
c6gd.2xlarge,AWS Graviton2,8,16
c6gd.4xlarge,AWS Graviton2,16,32
c6gd.8xlarge,AWS Graviton2,32,64
c6gd.large,AWS Graviton2,2,4
c6gd.medium,AWS Graviton2,1,2
c6gd.metal,AWS Graviton2,64,128
c6gd.xlarge,AWS Graviton2,4,8
cr1.8xlarge,Unknown,32,244
dc1.8xlarge,Unknown,32,244
dc1.large,Unknown,2,15
dc2.8xlarge,Unknown,32,244
dc2.large,Unknown,2,15
ds2.8xlarge,Unknown,36,244
ds2.xlarge,Unknown,4,31
g2.2xlarge,Unknown,8,15
g2.8xlarge,Unknown,32,60
hs1.8xlarge,Unknown,16,117
i2.2xlarge,Unknown,8,61
i2.4xlarge,Unknown,16,122
i2.8xlarge,Unknown,32,244
i2.xlarge,Unknown,4,30.5
m1.large,Unknown,2,7.5
m1.medium,Unknown,1,3.75
m1.small,Unknown,1,1.7
m1.xlarge,Unknown,4,15
m2.2xlarge,Unknown,4,34.2
m2.4xlarge,Unknown,8,68.4
