Series,Virtual Machine,Microarchitecture,Instance vCPUs,Instance Memory,Platform vCPUs (highest vCPU possible),Platform Memory,Platform Storage Info (SSD?),Platform Storage Type,Platform (largest instance) Storage Drive quantity,Instance GPUs,Platform GPU
Av2 Standard,A1 v2,Unknown,1,2,8,64,,HDD,1,,
Av2 Standard,A2 v2,Unknown,2,4,8,64,,HDD,1,,
Av2 Standard,A2m v2,Unknown,2,16,8,64,,HDD,1,,
Av2 Standard,A4 v2,Unknown,4,8,8,64,,HDD,1,,
Av2 Standard,A4m v2,Unknown,4,32,8,64,,HDD,1,,
Av2 Standard,A8 v2,Unknown,8,16,8,64,,HDD,1,,
Av2 Standard,A8m v2,Unknown,8,64,8,64,,HDD,1,,
Bs-series,B12MS,Unknown,12,48,20,80,,HDD,1,,
Bs-series,B16MS,Unknown,16,64,20,80,,HDD,1,,
Bs-series,B1LS,Unknown,1,0.5,20,80,,HDD,1,,
Bs-series,B1MS,Unknown,1,2,20,80,,HDD,1,,
Bs-series,B1S,Unknown,1,1,20,80,,HDD,1,,
Bs-series,B20MS,Unknown,20,80,20,80,,HDD,1,,
Bs-series,B2MS,Unknown,2,8,20,80,,HDD,1,,
Bs-series,B2S,Unknown,2,4,20,80,,HDD,1,,
Bs-series,B4MS,Unknown,4,16,20,80,,HDD,1,,
Bs-series,B8MS,Unknown,8,32,20,80,,HDD,1,,
Constrained vCPUs capable,DS11-1 v2,Unknown,0.5,14,2,14,,HDD,1,,
Constrained vCPUs capable,DS12-1 v2,Unknown,0.25,28,4,28,,HDD,1,,
Constrained vCPUs capable,DS12-2 v2,Unknown,0.5,28,4,28,,HDD,1,,
Constrained vCPUs capable,DS13-2 v2,Unknown,0.25,56,8,56,,HDD,1,,
Constrained vCPUs capable,DS13-4 v2,Unknown,0.5,56,8,56,,HDD,1,,
Constrained vCPUs capable,DS14-4 v2,Unknown,0.25,112,16,112,,HDD,1,,
Constrained vCPUs capable,DS14-8 v2,Unknown,0.5,112,16,112,,HDD,1,,
Constrained vCPUs capable,E16-4as v4,Unknown,0.25,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-4ds v4,Unknown,0.25,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-4s v3,Unknown,0.25,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-4s v4,Unknown,0.25,128,16,128,,N/A,0,,
Constrained vCPUs capable,E16-8as v4,Unknown,0.5,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-8ds v4,Unknown,0.5,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-8s v3,Unknown,0.5,128,16,128,,HDD,1,,
Constrained vCPUs capable,E16-8s v4,Unknown,0.5,128,16,128,,N/A,0,,
Constrained vCPUs capable,E32-16as v4,Unknown,0.5,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-16ds v4,Unknown,0.5,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-16s v3,Unknown,0.5,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-16s v4,Unknown,0.5,256,32,256,,N/A,0,,
Constrained vCPUs capable,E32-8as v4,Unknown,0.25,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-8ds v4,Unknown,0.25,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-8s v3,Unknown,0.25,256,32,256,,HDD,1,,
Constrained vCPUs capable,E32-8s v4,Unknown,0.25,256,32,256,,N/A,0,,
Constrained vCPUs capable,E4-2as v4,Unknown,0.5,32,4,32,,HDD,1,,
Constrained vCPUs capable,E4-2ds v4,Unknown,0.5,32,4,32,,HDD,1,,
Constrained vCPUs capable,E4-2s v3,Unknown,0.5,32,4,32,,HDD,1,,
Constrained vCPUs capable,E4-2s v4,Unknown,0.5,32,4,32,,N/A,0,,
Constrained vCPUs capable,E64-16as v4,Unknown,0.25,512,64,512,,HDD,1,,
Constrained vCPUs capable,E64-16ds v4,Unknown,0.25,504,64,504,,HDD,1,,
Constrained vCPUs capable,E64-16s v3,Unknown,0.25,432,64,432,,HDD,1,,
Constrained vCPUs capable,E64-16s v4,Unknown,0.25,504,64,504,,N/A,0,,
Constrained vCPUs capable,E64-32as v4,Unknown,0.5,512,64,512,,HDD,1,,
Constrained vCPUs capable,E64-32ds v4,Unknown,0.5,504,64,504,,HDD,1,,
Constrained vCPUs capable,E64-32s v3,Unknown,0.5,432,64,432,,HDD,1,,
Constrained vCPUs capable,E64-32s v4,Unknown,0.5,504,64,504,,N/A,0,,
Constrained vCPUs capable,E8-2as v4,Unknown,0.25,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-2ds v4,Unknown,0.25,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-2s v3,Unknown,0.25,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-2s v4,Unknown,0.25,64,8,64,,N/A,0,,
Constrained vCPUs capable,E8-4as v4,Unknown,0.5,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-4ds v4,Unknown,0.5,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-4s v3,Unknown,0.5,64,8,64,,HDD,1,,
Constrained vCPUs capable,E8-4s v4,Unknown,0.5,64,8,64,,N/A,0,,
Constrained vCPUs capable,E96-24as v4,Unknown,0.25,672,96,672,,HDD,1,,
Constrained vCPUs capable,E96-48as v4,Unknown,0.5,672,96,672,,HDD,1,,
Constrained vCPUs capable,Gs4-4,Unknown,0.25,224,16,224,,HDD,1,,
Constrained vCPUs capable,Gs4-8,Unknown,0.5,224,16,224,,HDD,1,,
Constrained vCPUs capable,Gs5-16,Unknown,0.5,448,32,448,,HDD,1,,
Constrained vCPUs capable,Gs5-8,Unknown,0.25,448,32,448,,HDD,1,,
Constrained vCPUs capable,HB120-16rs v3,EPYC 3rd Gen,0.1333333333,448,120,448,,SSD,1,,
Constrained vCPUs capable,HB120-32rs v3,EPYC 3rd Gen,0.2666666667,448,120,448,,SSD,1,,
Constrained vCPUs capable,HB120-64rs v3,EPYC 3rd Gen,0.5333333333,448,120,448,,SSD,1,,
Constrained vCPUs capable,HB120-96rs v3,EPYC 3rd Gen,0.8,448,120,448,,SSD,1,,
Constrained vCPUs capable,M128-32ms,Unknown,0.25,3800,128,3800,,HDD,1,,
Constrained vCPUs capable,M128-64ms,Unknown,0.5,3800,128,3800,,HDD,1,,
Constrained vCPUs capable,M16-4ms,Unknown,0.25,438,16,438,,HDD,1,,
Constrained vCPUs capable,M16-8ms,Unknown,0.5,438,16,438,,HDD,1,,
Constrained vCPUs capable,M32-16ms,Unknown,0.5,875,32,875,,HDD,1,,
Constrained vCPUs capable,M32-8ms,Unknown,0.25,875,32,875,,HDD,1,,
Constrained vCPUs capable,M64-16ms,Unknown,0.25,1750,64,1750,,HDD,1,,
Constrained vCPUs capable,M64-32ms,Unknown,0.5,1750,64,1750,,HDD,1,,
Constrained vCPUs capable,M8-2ms,Unknown,0.25,219,8,219,,HDD,1,,
Constrained vCPUs capable,M8-4ms,Unknown,0.5,219,8,219,,HDD,1,,
D1-5 v2,D1 v2,Haswell,1,3.5,16,56,,HDD,1,,
D1-5 v2,D1 v2,Cascade Lake,1,3.5,16,56,,HDD,1,,
D1-5 v2,D1 v2,Skylake,1,3.5,16,56,,HDD,1,,
D1-5 v2,D1 v2,Broadwell,1,3.5,16,56,,HDD,1,,
D1-5 v2,D2 v2,Haswell,2,7,16,56,,HDD,1,,
D1-5 v2,D2 v2,Cascade Lake,2,7,16,56,,HDD,1,,
D1-5 v2,D2 v2,Skylake,2,7,16,56,,HDD,1,,
D1-5 v2,D2 v2,Broadwell,2,7,16,56,,HDD,1,,
D1-5 v2,D3 v2,Haswell,4,14,16,56,,HDD,1,,
D1-5 v2,D3 v2,Cascade Lake,4,14,16,56,,HDD,1,,
D1-5 v2,D3 v2,Skylake,4,14,16,56,,HDD,1,,
D1-5 v2,D3 v2,Broadwell,4,14,16,56,,HDD,1,,
D1-5 v2,D4 v2,Haswell,8,28,16,56,,HDD,1,,
D1-5 v2,D4 v2,Cascade Lake,8,28,16,56,,HDD,1,,
D1-5 v2,D4 v2,Skylake,8,28,16,56,,HDD,1,,
D1-5 v2,D4 v2,Broadwell,8,28,16,56,,HDD,1,,
D1-5 v2,D5 v2,Haswell,16,56,16,56,,HDD,1,,
D1-5 v2,D5 v2,Cascade Lake,16,56,16,56,,HDD,1,,
D1-5 v2,D5 v2,Skylake,16,56,16,56,,HDD,1,,
D1-5 v2,D5 v2,Broadwell,16,56,16,56,,HDD,1,,
D11-15 v2,D11 v2,Haswell,2,14,20,140,,HDD,1,,
D11-15 v2,D11 v2,Cascade Lake,2,14,20,140,,HDD,1,,
D11-15 v2,D11 v2,Skylake,2,14,20,140,,HDD,1,,
D11-15 v2,D11 v2,Broadwell,2,14,20,140,,HDD,1,,
D11-15 v2,D12 v2,Haswell,4,28,20,140,,HDD,1,,
D11-15 v2,D12 v2,Cascade Lake,4,28,20,140,,HDD,1,,
D11-15 v2,D12 v2,Skylake,4,28,20,140,,HDD,1,,
D11-15 v2,D12 v2,Broadwell,4,28,20,140,,HDD,1,,
D11-15 v2,D13 v2,Haswell,8,56,20,140,,HDD,1,,
D11-15 v2,D13 v2,Cascade Lake,8,56,20,140,,HDD,1,,
D11-15 v2,D13 v2,Skylake,8,56,20,140,,HDD,1,,
D11-15 v2,D13 v2,Broadwell,8,56,20,140,,HDD,1,,
D11-15 v2,D14 v2,Haswell,16,112,20,140,,HDD,1,,
D11-15 v2,D14 v2,Cascade Lake,16,112,20,140,,HDD,1,,
D11-15 v2,D14 v2,Skylake,16,112,20,140,,HDD,1,,
D11-15 v2,D14 v2,Broadwell,16,112,20,140,,HDD,1,,
D11-15 v2,D15 v2,Haswell,20,140,20,140,,HDD,1,,
D11-15 v2,D15 v2,Cascade Lake,20,140,20,140,,HDD,1,,
D11-15 v2,D15 v2,Skylake,20,140,20,140,,HDD,1,,
D11-15 v2,D15 v2,Broadwell,20,140,20,140,,HDD,1,,
D11-15 v2,D15i v2 1,Haswell,20,140,20,140,,HDD,1,,
D11-15 v2,D15i v2 1,Cascade Lake,20,140,20,140,,HDD,1,,
D11-15 v2,D15i v2 1,Skylake,20,140,20,140,,HDD,1,,
D11-15 v2,D15i v2 1,Broadwell,20,140,20,140,,HDD,1,,
D11S-15S v2,DS11 v2,Haswell,2,14,20,140,,HDD,1,,
D11S-15S v2,DS11 v2,Cascade Lake,2,14,20,140,,HDD,1,,
D11S-15S v2,DS11 v2,Skylake,2,14,20,140,,HDD,1,,
D11S-15S v2,DS11 v2,Broadwell,2,14,20,140,,HDD,1,,
D11S-15S v2,DS12 v2,Haswell,4,28,20,140,,HDD,1,,
D11S-15S v2,DS12 v2,Cascade Lake,4,28,20,140,,HDD,1,,
D11S-15S v2,DS12 v2,Skylake,4,28,20,140,,HDD,1,,
D11S-15S v2,DS12 v2,Broadwell,4,28,20,140,,HDD,1,,
D11S-15S v2,DS13 v2,Haswell,8,56,20,140,,HDD,1,,
D11S-15S v2,DS13 v2,Cascade Lake,8,56,20,140,,HDD,1,,
D11S-15S v2,DS13 v2,Skylake,8,56,20,140,,HDD,1,,
D11S-15S v2,DS13 v2,Broadwell,8,56,20,140,,HDD,1,,
D11S-15S v2,DS14 v2,Haswell,16,112,20,140,,HDD,1,,
D11S-15S v2,DS14 v2,Cascade Lake,16,112,20,140,,HDD,1,,
D11S-15S v2,DS14 v2,Skylake,16,112,20,140,,HDD,1,,
D11S-15S v2,DS14 v2,Broadwell,16,112,20,140,,HDD,1,,
D11S-15S v2,DS15 v2,Haswell,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15 v2,Cascade Lake,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15 v2,Skylake,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15 v2,Broadwell,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15i v2 1,Haswell,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15i v2 1,Cascade Lake,20,140,20,140,,HDD,1,,
D11S-15S v2,DS15i v2 1,Skylake,20,140,20,140,,HDD,1,,
