Machine Family,Machine type,Microarchitecture,Instance vCPUs,Instance Memory,Platform vCPUs (highest vCPU possible),Platform Memory,Platform Storage Info (SSD?),Platform Storage Type,Platform (largest instance) Storage Drive quantity,Instance GPUs,Platform GPU
e2,e2-standard-2,Skylake,2,8,32,128,No,Non-SSD,0,0,0
e2,e2-standard-2,Broadwell,2,8,32,128,No,Non-SSD,0,0,0
e2,e2-standard-2,Haswell,2,8,32,128,No,Non-SSD,0,0,0
e2,e2-standard-2,EPYC 2nd Gen,2,8,32,128,No,Non-SSD,0,0,0
e2,e2-standard-4,Skylake,4,16,32,128,No,Non-SSD,0,0,0
e2,e2-standard-4,Broadwell,4,16,32,128,No,Non-SSD,0,0,0
e2,e2-standard-4,Haswell,4,16,32,128,No,Non-SSD,0,0,0
e2,e2-standard-4,EPYC 2nd Gen,4,16,32,128,No,Non-SSD,0,0,0
e2,e2-standard-8,Skylake,8,32,32,128,No,Non-SSD,0,0,0
e2,e2-standard-8,Broadwell,8,32,32,128,No,Non-SSD,0,0,0
e2,e2-standard-8,Haswell,8,32,32,128,No,Non-SSD,0,0,0
e2,e2-standard-8,EPYC 2nd Gen,8,32,32,128,No,Non-SSD,0,0,0
e2,e2-standard-16,Skylake,16,64,32,128,No,Non-SSD,0,0,0
e2,e2-standard-16,Broadwell,16,64,32,128,No,Non-SSD,0,0,0
e2,e2-standard-16,Haswell,16,64,32,128,No,Non-SSD,0,0,0
e2,e2-standard-16,EPYC 2nd Gen,16,64,32,128,No,Non-SSD,0,0,0
e2,e2-standard-32,Skylake,32,128,32,128,No,Non-SSD,0,0,0
e2,e2-standard-32,Broadwell,32,128,32,128,No,Non-SSD,0,0,0
e2,e2-standard-32,Haswell,32,128,32,128,No,Non-SSD,0,0,0
e2,e2-standard-32,EPYC 2nd Gen,32,128,32,128,No,Non-SSD,0,0,0
e2,e2-highmem-2,Skylake,2,16,16,128,No,Non-SSD,0,0,0
e2,e2-highmem-2,Broadwell,2,16,16,128,No,Non-SSD,0,0,0
e2,e2-highmem-2,Haswell,2,16,16,128,No,Non-SSD,0,0,0
e2,e2-highmem-2,EPYC 2nd Gen,2,16,16,128,No,Non-SSD,0,0,0
e2,e2-highmem-4,Skylake,4,32,16,128,No,Non-SSD,0,0,0
e2,e2-highmem-4,Broadwell,4,32,16,128,No,Non-SSD,0,0,0
