,type,additional_memory,additional_storage,additional_cpus,additional_gpus,total
0,a1.medium,22.21,0.0,0.0,0.0,1022.21
1,a1.large,22.21,0.0,0.0,0.0,1022.21
2,a1.xlarge,22.21,0.0,0.0,0.0,1022.21
3,a1.2xlarge,22.21,0.0,0.0,0.0,1022.21
4,a1.4xlarge,22.21,0.0,0.0,0.0,1022.21
5,a1.metal,22.21,0.0,0.0,0.0,1022.21
6,c1.medium,36.09,400.0,100.0,0.0,1536.09
7,c1.xlarge,36.09,400.0,100.0,0.0,1536.09
8,cr1.8xlarge,316.47,200.0,100.0,0.0,1616.47
9,cc2.8xlarge,61.77,400.0,100.0,0.0,1561.77
10,c3.large,61.07,200.0,100.0,0.0,1361.07
11,c3.xlarge,61.07,200.0,100.0,0.0,1361.07
12,c3.2xlarge,61.07,200.0,100.0,0.0,1361.07
13,c3.4xlarge,61.07,200.0,100.0,0.0,1361.07
14,c3.8xlarge,61.07,200.0,100.0,0.0,1361.07
15,c4.large,61.07,0.0,100.0,0.0,1161.07
16,c4.xlarge,61.07,0.0,100.0,0.0,1161.07
17,c4.2xlarge,61.07,0.0,100.0,0.0,1161.07
18,c4.4xlarge,61.07,0.0,100.0,0.0,1161.07
19,c4.8xlarge,61.07,0.0,100.0,0.0,1161.07
20,c5.large,244.29,0.0,100.0,0.0,1344.29
21,c5.xlarge,244.29,0.0,100.0,0.0,1344.29
22,c5.2xlarge,244.29,0.0,100.0,0.0,1344.29
23,c5.4xlarge,244.29,0.0,100.0,0.0,1344.29
24,c5.9xlarge,244.29,0.0,100.0,0.0,1344.29
25,c5.12xlarge,244.29,0.0,100.0,0.0,1344.29
26,c5.18xlarge,244.29,0.0,100.0,0.0,1344.29
27,c5.24xlarge,244.29,0.0,100.0,0.0,1344.29
28,c5.metal,244.29,0.0,100.0,0.0,1344.29
29,c5a.large,244.29,0.0,0.0,0.0,1244.29
30,c5a.xlarge,244.29,0.0,0.0,0.0,1244.29
