,Architecture,Min Watts,Max Watts,GB/Chip
0,Graviton,0.4015625,1.671875,128.0
1,Ivy Bridge,2.4274999999999998,5.8,16.0
2,Sandy Bridge,2.16875,9.84375,12.0
3,Haswell,20.8,32.75,16.0
4,Sky Lake,0.4303571428571429,3.4375,96.0
5,Cascade Lake,0.5571428571428572,3.6785714285714284,96.0
6,EPYC 2nd Gen,0.4015625,1.671875,128.0
7,Graviton2,0.4015625,1.671875,128.0
8,Broadwell,0.5102272727272728,3.0568181818181817,64.0
9,EPYC 1st Gen,0.66328125,2.2421875,64.0
10,Coffee Lake,1.6666666666666667,7.758333333333333,32.0
