,family,type,microarchitecture,additional_memory,additional_storage,additional_cpus,additional_gpus,total
0,Av2 Standard,A1 v2,Unknown,66.62,50.0,100.0,0.0,1216.62
1,Av2 Standard,A2 v2,Unknown,66.62,50.0,100.0,0.0,1216.62
2,Av2 Standard,A2m v2,Unknown,66.62,50.0,100.0,0.0,1216.62
3,Av2 Standard,A4 v2,Unknown,66.62,50.0,100.0,0.0,1216.62
4,Av2 Standard,A4m v2,Unknown,66.62,50.0,100.0,0.0,1216.62
5,Av2 Standard,A8 v2,Unknown,66.62,50.0,100.0,0.0,1216.62
6,Av2 Standard,A8m v2,Unknown,66.62,50.0,100.0,0.0,1216.62
7,Bs-series,B12MS,Unknown,88.83,50.0,100.0,0.0,1238.83
8,Bs-series,B16MS,Unknown,88.83,50.0,100.0,0.0,1238.83
9,Bs-series,B1LS,Unknown,88.83,50.0,100.0,0.0,1238.83
10,Bs-series,B1MS,Unknown,88.83,50.0,100.0,0.0,1238.83
11,Bs-series,B1S,Unknown,88.83,50.0,100.0,0.0,1238.83
12,Bs-series,B20MS,Unknown,88.83,50.0,100.0,0.0,1238.83
13,Bs-series,B2MS,Unknown,88.83,50.0,100.0,0.0,1238.83
14,Bs-series,B2S,Unknown,88.83,50.0,100.0,0.0,1238.83
15,Bs-series,B4MS,Unknown,88.83,50.0,100.0,0.0,1238.83
16,Bs-series,B8MS,Unknown,88.83,50.0,100.0,0.0,1238.83
17,Constrained vCPUs capable,DS11-1 v2,Unknown,0.0,50.0,100.0,0.0,1150.0
18,Constrained vCPUs capable,DS12-1 v2,Unknown,16.66,50.0,100.0,0.0,1166.66
19,Constrained vCPUs capable,DS12-2 v2,Unknown,16.66,50.0,100.0,0.0,1166.66
20,Constrained vCPUs capable,DS13-2 v2,Unknown,55.52,50.0,100.0,0.0,1205.52
21,Constrained vCPUs capable,DS13-4 v2,Unknown,55.52,50.0,100.0,0.0,1205.52
22,Constrained vCPUs capable,DS14-4 v2,Unknown,133.25,50.0,100.0,0.0,1283.25
23,Constrained vCPUs capable,DS14-8 v2,Unknown,133.25,50.0,100.0,0.0,1283.25
24,Constrained vCPUs capable,E16-4as v4,Unknown,155.46,50.0,100.0,0.0,1305.46
25,Constrained vCPUs capable,E16-4ds v4,Unknown,155.46,50.0,100.0,0.0,1305.46
26,Constrained vCPUs capable,E16-4s v3,Unknown,155.46,50.0,100.0,0.0,1305.46
27,Constrained vCPUs capable,E16-4s v4,Unknown,155.46,0.0,100.0,0.0,1255.46
28,Constrained vCPUs capable,E16-8as v4,Unknown,155.46,50.0,100.0,0.0,1305.46
29,Constrained vCPUs capable,E16-8ds v4,Unknown,155.46,50.0,100.0,0.0,1305.46
30,Constrained vCPUs capable,E16-8s v3,Unknown,155.46,50.0,100.0,0.0,1305.46
31,Constrained vCPUs capable,E16-8s v4,Unknown,155.46,0.0,100.0,0.0,1255.46
32,Constrained vCPUs capable,E32-16as v4,Unknown,333.12,50.0,100.0,0.0,1483.12
33,Constrained vCPUs capable,E32-16ds v4,Unknown,333.12,50.0,100.0,0.0,1483.12
34,Constrained vCPUs capable,E32-16s v3,Unknown,333.12,50.0,100.0,0.0,1483.12
35,Constrained vCPUs capable,E32-16s v4,Unknown,333.12,0.0,100.0,0.0,1433.12
36,Constrained vCPUs capable,E32-8as v4,Unknown,333.12,50.0,100.0,0.0,1483.12
37,Constrained vCPUs capable,E32-8ds v4,Unknown,333.12,50.0,100.0,0.0,1483.12
38,Constrained vCPUs capable,E32-8s v3,Unknown,333.12,50.0,100.0,0.0,1483.12
39,Constrained vCPUs capable,E32-8s v4,Unknown,333.12,0.0,100.0,0.0,1433.12
40,Constrained vCPUs capable,E4-2as v4,Unknown,22.21,50.0,100.0,0.0,1172.21
41,Constrained vCPUs capable,E4-2ds v4,Unknown,22.21,50.0,100.0,0.0,1172.21
42,Constrained vCPUs capable,E4-2s v3,Unknown,22.21,50.0,100.0,0.0,1172.21
43,Constrained vCPUs capable,E4-2s v4,Unknown,22.21,0.0,100.0,0.0,1122.21
44,Constrained vCPUs capable,E64-16as v4,Unknown,688.46,50.0,100.0,0.0,1838.46
45,Constrained vCPUs capable,E64-16ds v4,Unknown,677.35,50.0,100.0,0.0,1827.35
46,Constrained vCPUs capable,E64-16s v3,Unknown,577.42,50.0,100.0,0.0,1727.42
47,Constrained vCPUs capable,E64-16s v4,Unknown,677.35,0.0,100.0,0.0,1777.35
48,Constrained vCPUs capable,E64-32as v4,Unknown,688.46,50.0,100.0,0.0,1838.46
49,Constrained vCPUs capable,E64-32ds v4,Unknown,677.35,50.0,100.0,0.0,1827.35
50,Constrained vCPUs capable,E64-32s v3,Unknown,577.42,50.0,100.0,0.0,1727.42
51,Constrained vCPUs capable,E64-32s v4,Unknown,677.35,0.0,100.0,0.0,1777.35
52,Constrained vCPUs capable,E8-2as v4,Unknown,66.62,50.0,100.0,0.0,1216.62
53,Constrained vCPUs capable,E8-2ds v4,Unknown,66.62,50.0,100.0,0.0,1216.62
