,family,type,microarchitecture,additional_memory,additional_storage,additional_cpus,additional_gpus,total
0,e2,e2-standard-2,Skylake,155.46,0.0,100.0,0.0,1255.46
1,e2,e2-standard-2,Broadwell,155.46,0.0,100.0,0.0,1255.46
2,e2,e2-standard-2,Haswell,155.46,0.0,100.0,0.0,1255.46
3,e2,e2-standard-2,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
4,e2,e2-standard-4,Skylake,155.46,0.0,100.0,0.0,1255.46
5,e2,e2-standard-4,Broadwell,155.46,0.0,100.0,0.0,1255.46
6,e2,e2-standard-4,Haswell,155.46,0.0,100.0,0.0,1255.46
7,e2,e2-standard-4,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
8,e2,e2-standard-8,Skylake,155.46,0.0,100.0,0.0,1255.46
9,e2,e2-standard-8,Broadwell,155.46,0.0,100.0,0.0,1255.46
10,e2,e2-standard-8,Haswell,155.46,0.0,100.0,0.0,1255.46
11,e2,e2-standard-8,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
12,e2,e2-standard-16,Skylake,155.46,0.0,100.0,0.0,1255.46
13,e2,e2-standard-16,Broadwell,155.46,0.0,100.0,0.0,1255.46
14,e2,e2-standard-16,Haswell,155.46,0.0,100.0,0.0,1255.46
15,e2,e2-standard-16,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
16,e2,e2-standard-32,Skylake,155.46,0.0,100.0,0.0,1255.46
17,e2,e2-standard-32,Broadwell,155.46,0.0,100.0,0.0,1255.46
18,e2,e2-standard-32,Haswell,155.46,0.0,100.0,0.0,1255.46
19,e2,e2-standard-32,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
20,e2,e2-highmem-2,Skylake,155.46,0.0,100.0,0.0,1255.46
21,e2,e2-highmem-2,Broadwell,155.46,0.0,100.0,0.0,1255.46
22,e2,e2-highmem-2,Haswell,155.46,0.0,100.0,0.0,1255.46
23,e2,e2-highmem-2,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
24,e2,e2-highmem-4,Skylake,155.46,0.0,100.0,0.0,1255.46
25,e2,e2-highmem-4,Broadwell,155.46,0.0,100.0,0.0,1255.46
26,e2,e2-highmem-4,Haswell,155.46,0.0,100.0,0.0,1255.46
27,e2,e2-highmem-4,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
28,e2,e2-highmem-8,Skylake,155.46,0.0,100.0,0.0,1255.46
29,e2,e2-highmem-8,Broadwell,155.46,0.0,100.0,0.0,1255.46
30,e2,e2-highmem-8,Haswell,155.46,0.0,100.0,0.0,1255.46
31,e2,e2-highmem-8,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
32,e2,e2-highmem-16,Skylake,155.46,0.0,100.0,0.0,1255.46
33,e2,e2-highmem-16,Broadwell,155.46,0.0,100.0,0.0,1255.46
34,e2,e2-highmem-16,Haswell,155.46,0.0,100.0,0.0,1255.46
35,e2,e2-highmem-16,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
36,e2,e2-highcpu-2,Skylake,22.21,0.0,100.0,0.0,1122.21
37,e2,e2-highcpu-2,Broadwell,22.21,0.0,100.0,0.0,1122.21
38,e2,e2-highcpu-2,Haswell,22.21,0.0,100.0,0.0,1122.21
39,e2,e2-highcpu-2,EPYC 2nd Gen,22.21,0.0,0.0,0.0,1022.21
40,e2,e2-highcpu-4,Skylake,22.21,0.0,100.0,0.0,1122.21
41,e2,e2-highcpu-4,Broadwell,22.21,0.0,100.0,0.0,1122.21
42,e2,e2-highcpu-4,Haswell,22.21,0.0,100.0,0.0,1122.21
43,e2,e2-highcpu-4,EPYC 2nd Gen,22.21,0.0,0.0,0.0,1022.21
44,e2,e2-highcpu-8,Skylake,22.21,0.0,100.0,0.0,1122.21
45,e2,e2-highcpu-8,Broadwell,22.21,0.0,100.0,0.0,1122.21
46,e2,e2-highcpu-8,Haswell,22.21,0.0,100.0,0.0,1122.21
47,e2,e2-highcpu-8,EPYC 2nd Gen,22.21,0.0,0.0,0.0,1022.21
48,e2,e2-highcpu-16,Skylake,22.21,0.0,100.0,0.0,1122.21
49,e2,e2-highcpu-16,Broadwell,22.21,0.0,100.0,0.0,1122.21
50,e2,e2-highcpu-16,Haswell,22.21,0.0,100.0,0.0,1122.21
51,e2,e2-highcpu-16,EPYC 2nd Gen,22.21,0.0,0.0,0.0,1022.21
52,e2,e2-highcpu-32,Skylake,22.21,0.0,100.0,0.0,1122.21
53,e2,e2-highcpu-32,Broadwell,22.21,0.0,100.0,0.0,1122.21
54,e2,e2-highcpu-32,Haswell,22.21,0.0,100.0,0.0,1122.21
55,e2,e2-highcpu-32,EPYC 2nd Gen,22.21,0.0,0.0,0.0,1022.21
56,e2 Shared-core,e2-micro,Skylake,155.46,0.0,100.0,0.0,1255.46
57,e2 Shared-core,e2-micro,Broadwell,155.46,0.0,100.0,0.0,1255.46
58,e2 Shared-core,e2-micro,Haswell,155.46,0.0,100.0,0.0,1255.46
59,e2 Shared-core,e2-micro,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
60,e2 Shared-core,e2-small,Skylake,155.46,0.0,100.0,0.0,1255.46
61,e2 Shared-core,e2-small,Broadwell,155.46,0.0,100.0,0.0,1255.46
62,e2 Shared-core,e2-small,Haswell,155.46,0.0,100.0,0.0,1255.46
63,e2 Shared-core,e2-small,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
64,e2 Shared-core,e2-medium,Skylake,155.46,0.0,100.0,0.0,1255.46
65,e2 Shared-core,e2-medium,Broadwell,155.46,0.0,100.0,0.0,1255.46
66,e2 Shared-core,e2-medium,Haswell,155.46,0.0,100.0,0.0,1255.46
67,e2 Shared-core,e2-medium,EPYC 2nd Gen,155.46,0.0,0.0,0.0,1155.46
68,n2,n2-standard-2,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
69,n2,n2-standard-4,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
70,n2,n2-standard-8,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
71,n2,n2-standard-16,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
72,n2,n2-standard-32,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
73,n2,n2-standard-48,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
74,n2,n2-standard-64,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
75,n2,n2-standard-80,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
76,n2,n2-standard-96,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
77,n2,n2-standard-128,Cascade Lake,688.46,100.0,100.0,0.0,1888.46
78,n2,n2-highmem-2,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
79,n2,n2-highmem-4,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
80,n2,n2-highmem-8,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
81,n2,n2-highmem-16,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
82,n2,n2-highmem-32,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
83,n2,n2-highmem-48,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
84,n2,n2-highmem-64,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
85,n2,n2-highmem-80,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
86,n2,n2-highmem-96,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
87,n2,n2-highmem-128,Cascade Lake,1177.04,100.0,100.0,0.0,2377.04
88,n2,n2-highcpu-2,Cascade Lake,111.04,100.0,100.0,0.0,1311.04
89,n2,n2-highcpu-4,Cascade Lake,111.04,100.0,100.0,0.0,1311.04
90,n2,n2-highcpu-8,Cascade Lake,111.04,100.0,100.0,0.0,1311.04
91,n2,n2-highcpu-16,Cascade Lake,111.04,100.0,100.0,0.0,1311.04
92,n2,n2-highcpu-32,Cascade Lake,111.04,100.0,100.0,0.0,1311.04
